Ticker_symbol,Security,Sector,Sub_Industry,Headquarter
FCX,Freeport-McMoran Cp & Gld,Materials,Copper,Phoenix; Arizona
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,Stamford; Connecticut
GPS,Gap (The),Consumer Discretionary,Apparel Retail,San Francisco; California
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,Schaffhausen; Switzerland
GD,General Dynamics,Industrials,Aerospace & Defense,Falls Church; Virginia
GE,General Electric,Industrials,Industrial Conglomerates,Fairfield; Connecticut
GGP,General Growth Properties Inc.,Real Estate,Retail REITs,Chicago; Illinois
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,Golden Valley; Minnesota
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,Detroit; Michigan
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,Atlanta; Georgia
GILD,Gilead Sciences,Health Care,Biotechnology,Foster City; California
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,Atlanta; Georgia
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,New York; New York
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,Akron; Ohio
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,Lake Forest; Illinois
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,Houston; Texas
HBI,Hanesbrands Inc,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Winston-Salem; North Carolina
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,Milwaukee; Wisconsin
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,Stamford; Connecticut
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,Melbourne; Florida
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,Hartford; Connecticut
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,Pawtucket; Rhode Island
HCA,HCA Holdings,Health Care,Health Care Facilities,Nashville; Tennessee
HCP,HCP Inc.,Real Estate,REITs,Long Beach; California
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,Tulsa; Oklahoma[5]
HSIC,Henry Schein,Health Care,Health Care Distributors,Melville; New York
HES,Hess Corporation,Energy,Integrated Oil & Gas,New York; New York
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware; Storage & Peripherals,Palo Alto; California
HOLX,Hologic,Health Care,Health Care Equipment,Marlborough; Massachusetts
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,Atlanta; Georgia
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,Morristown; New Jersey
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,Austin; Minnesota
HST,Host Hotels & Resorts,Real Estate,REITs,Bethesda; Maryland
HPQ,HP Inc.,Information Technology,Computer Hardware,Palo Alto; California
HUM,Humana Inc.,Health Care,Managed Health Care,Louisville; Kentucky
HBAN,Huntington Bancshares,Financials,Banks,Columbus; Ohio
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,Westbrook; Maine
ITW,Illinois Tool Works,Industrials,Industrial Machinery,Glenview; Illinois
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,San Diego; California
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,Dublin; Ireland
INTC,Intel Corp.,Information Technology,Semiconductors,Santa Clara; California
ICE,Intercontinental Exchange,Financials,Diversified Financial Services,Atlanta; Georgia
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,Armonk; New York
IP,International Paper,Materials,Paper Packaging,Memphis; Tennessee
IPG,Interpublic Group,Consumer Discretionary,Advertising,New York; New York
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,New York; New York
INTU,Intuit Inc.,Information Technology,Internet Software & Services,Mountain View; California
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,Sunnyvale; California
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,Atlanta; Georgia
IRM,Iron Mountain Incorporated,Real Estate,REITs,Boston; Massachusetts
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,Lowell; Arkansas
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,Pasadena; California
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,Orrville; Ohio
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,New Brunswick; New Jersey
JCI,Johnson Controls International,Industrials,Building Products,Cork; Ireland
JPM,JPMorgan Chase & Co.,Financials,Banks,New York; New York
JNPR,Juniper Networks,Information Technology,Networking Equipment,Sunnyvale; California
KSU,Kansas City Southern,Industrials,Railroads,Kansas City; Missouri
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,Battle Creek; Michigan
KEY,KeyCorp,Financials,Banks,Cleveland; Ohio
KMB,Kimberly-Clark,Consumer Staples,Household Products,Irving; Texas
KIM,Kimco Realty,Real Estate,REITs,New Hyde Park; New York
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,Houston; Texas
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,Milpitas; California
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,Menomonee Falls; Wisconsin
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,Pittsburgh; Pennsylvania
KR,Kroger Co.,Consumer Staples,Food Retail,Cincinnati; Ohio
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,Columbus; Ohio
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,New York; New York
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,Burlington; North Carolina
LRCX,Lam Research,Information Technology,Semiconductor Equipment,Fremont; California
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,Carthage; Missouri
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,Miami; Florida
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,New York; New York
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,Broomfield; Colorado
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,Indianapolis; Indiana
LNC,Lincoln National,Financials,Multi-line Insurance,Radnor; Pennsylvania
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,Milpitas; California
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,Chicago; Illinois
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,Bethesda; Maryland
L,Loews Corp.,Financials,Multi-Sector Holdings,New York; New York
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,Mooresville; North Carolina
LYB,LyondellBasell,Materials,Diversified Chemicals,Rotterdam; Netherlands
MTB,M&T Bank Corp.,Financials,Banks,Buffalo; New York
MAC,Macerich,Real Estate,Retail REITs,Santa Monica; California
M,Macy's Inc.,Consumer Discretionary,Department Stores,Cincinnati; Ohio
MNK,Mallinckrodt Plc,Health Care,Pharmaceuticals,Dublin; Ireland
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,Houston; Texas
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,Findlay; Ohio
MAR,Marriott Int'l.,Consumer Discretionary,Hotels; Resorts & Cruise Lines,Bethesda; Maryland
MMC,Marsh & McLennan,Financials,Insurance Brokers,New York; New York
MLM,Martin Marietta Materials,Materials,Construction Materials,Raleigh; North Carolina
MAS,Masco Corp.,Industrials,Building Products,Taylor; Michigan
MA,Mastercard Inc.,Information Technology,Internet Software & Services,Harrison; New York
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,El Segundo; California
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,Sparks; Maryland
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,Oak Brook; Illinois
MCK,McKesson Corp.,Health Care,Health Care Distributors,San Francisco; California
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,Glenview; Illinois
MDT,Medtronic plc,Health Care,Health Care Equipment,Dublin; Ireland
MRK,Merck & Co.,Health Care,Pharmaceuticals,Whitehouse Station; New Jersey
MET,MetLife Inc.,Financials,Life & Health Insurance,New York; New York
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,Columbus; Ohio
KORS,Michael Kors Holdings,Consumer Discretionary,Apparel; Accessories & Luxury Goods,New York; New York
MCHP,Microchip Technology,Information Technology,Semiconductors,Chandler; Arizona
MU,Micron Technology,Information Technology,Semiconductors,Boise; Idaho
MSFT,Microsoft Corp.,Information Technology,Systems Software,Redmond; Washington
MAA,Mid-America Apartments,Real Estate,Residential REITs,Memphis; Tennessee
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,Amsterdam; New York
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,Denver; Colorado
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,Northfield; Illinois
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,Creve Coeur; Missouri
MNST,Monster Beverage,Consumer Staples,Soft Drinks,Corona; California
MCO,Moody's Corp,Financials,Diversified Financial Services,New York; New York
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,New York; New York
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,Schaumburg; Illinois
MUR,Murphy Oil,Energy,Integrated Oil & Gas,El Dorado; Arkansas
MYL,Mylan N.V.,Health Care,Pharmaceuticals,Amsterdam; Netherlands
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,New York; New York
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,Houston; Texas
NAVI,Navient,Financials,Consumer Finance,Newark; Delaware
NTAP,NetApp,Information Technology,Internet Software & Services,Sunnyvale; California
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,Los Gatos; California
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,Sandy Springs; Georgia
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,Houston; Texas
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,Denver; Colorado
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,New York; New York
NWS,News Corp. Class B,Consumer Discretionary,Publishing,New York; New York
NEE,NextEra Energy,Utilities,MultiUtilities,Juno Beach; Florida
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,New York; New York
NKE,Nike,Consumer Discretionary,Apparel; Accessories & Luxury Goods,Washington County; Oregon
NI,NiSource Inc.,Utilities,MultiUtilities,Merrillville; Indiana
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,Houston; Texas
JWN,Nordstrom,Consumer Discretionary,Department Stores,Seattle; Washington
NSC,Norfolk Southern Corp.,Industrials,Railroads,Norfolk; Virginia
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,Chicago; Illinois
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,West Falls Church; Virginia
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,Princeton; New Jersey
NUE,Nucor Corp.,Materials,Steel,Charlotte; North Carolina
NVDA,Nvidia Corporation,Information Technology,Semiconductors,Santa Clara; California
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,Springfield; Missouri
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Los Angeles; California
OMC,Omnicom Group,Consumer Discretionary,Advertising,New York; New York
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,Tulsa; Oklahoma
ORCL,Oracle Corp.,Information Technology,Application Software,Redwood Shores; California
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,Bellevue; Washington
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,Cleveland; Ohio
PDCO,Patterson Companies,Health Care,Health Care Supplies,St. Paul; Minnesota
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,Penfield; New York
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,San Jose; California
PNR,Pentair Ltd.,Industrials,Industrial Machinery,Worsley; UK
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,Bridgeport; Connecticut
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,Purchase; New York
PKI,PerkinElmer,Health Care,Health Care Equipment,Waltham; Massachusetts
PRGO,Perrigo,Health Care,Pharmaceuticals,Dublin; Ireland
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,New York; New York
PCG,PG&E Corp.,Utilities,MultiUtilities,San Francisco; California
PM,Philip Morris International,Consumer Staples,Tobacco,New York; New York
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,Houston; Texas
PNW,Pinnacle West Capital,Utilities,MultiUtilities,Phoenix; Arizona
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,Irving; Texas
